Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level
Serbia,2020,6907812,6323101,305329,276925,1005,244,661,548,1
Seychelles,2020,120291,113016,1074,2839,912,1743,0,707,1
Sierra Leone,2020,7912558,1569006,6341649,953,0,769,0,182,1
Singapore,2020,5620151,1054279,907016,1118190,1731090,297565,856,511155,1
Slovakia,2020,5455024,4022824,2989,1381739,6695,971,2067,37738,1
Slovenia,2020,2102420,1375307,33820,678396,807,223,487,13380,1
Solomon Islands,2020,744498,707440,2530,2438,2530,54,0,29505,1
Somalia,2020,16651191,4367,16623449,2684,0,6660,0,14030,1
South Africa,2020,60562381,51633743,971955,1890824,21518,644994,39473,5359874,1
South Korea,2020,51858482,16587217,160763,25028780,9853408,47613,100,180600,1
South Sudan,2020,10698467,6472748,665766,47105,243,214,0,3512391,1
Spain,2020,47679489,33116629,1704662,12568191,8455,59699,12986,208868,1
Sri Lanka,2020,22561807,1261286,2301846,15766,15703005,3279342,62,499,1
St. Lucia,2020,178251,163516,169,10519,0,555,0,3491,1
St. Vincent and the Grenadines,2020,103526,89358,111,8141,0,89,0,5828,1
Sudan,2020,46789231,228321,46253736,263523,0,579,0,43071,1
Suriname,2020,612317,323222,80153,49654,2350,137488,202,19247,1
Sweden,2020,10353687,6292071,838566,2992876,86937,46800,16396,80041,1
Switzerland,2020,8640582,5320913,525613,2658287,53493,46609,19529,16137,1
Syria,2020,21049429,808455,19821403,416788,0,2105,118,559,1
Taiwan,2020,23663459,1310788,117797,5464327,4540722,0,0,12229824,1
Tajikistan,2020,9749311,97515,9643445,7268,409,358,0,317,1
Tanzania,2020,60972798,39444311,18211243,2120731,109,3953,109,1192342,1
Thailand,2020,71641484,740494,3234319,9048,67624158,28923,200,4341,1
Timor-Leste,2020,1326054,1319892,3404,847,402,171,0,1338,1
Togo,2020,8669721,4931705,1399132,694686,133,103,26,1643936,1
Tonga,2020,105704,103340,64,614,62,83,0,1540,1
Trinidad and Tobago,2020,1481024,1036976,80927,36264,435,305346,293,20783,1
Tunisia,2020,11974057,29537,11890693,52843,0,0,985,0,1
Turkey,2020,86091692,117069,83600950,2177260,45547,37144,25210,88512,1
Turkmenistan,2020,6949912,390253,6552928,4996,467,111,222,934,1
U.S. Virgin Islands,2020,87707,82866,92,3536,0,369,292,551,1
Uganda,2020,44457153,39008617,5073864,42181,356,2372,463,329299,1
Ukraine,2020,44680015,37276433,253705,6766595,149418,5658,42764,185442,1
United Arab Emirates,2020,9448524,1352428,6891776,31731,15792,1110535,1418,44843,1
United Kingdom,2020,67351862,33251891,4289719,27087678,307872,1141913,296871,975918,1
United States,2020,339436159,217273083,4047372,100914371,4384653,3035529,5733777,4047372,1
Uruguay,2020,3398968,1512245,3035,1781393,0,0,16256,86039,1
Uzbekistan,2020,33586372,932125,32116038,185391,4959,9236,2805,335818,1
Vanuatu,2020,298859,249558,58,4084,48,58,38,45015,1
Venezuela,2020,28444078,25063617,13957,2766969,6070,0,4992,588472,1
Vietnam,2020,98079191,8170016,70694,66373765,22578634,40495,125,845463,1
Western Sahara,2020,549365,847,546903,1390,0,0,0,225,1
Yemen,2020,36134864,20138,36085366,22243,197,2798,73,4047,1
Zambia,2020,19059395,18731646,97449,11389,363,3061,191,215296,1
Zimbabwe,2020,15526889,13539476,82154,1636517,5777,5918,198,256850,1
