Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Europe,Croatia,2020,"3,953,958","3,592,480","54,272","263,248",881,463,606,"42,007",1,191
Latin America-Caribbean,Cuba,2010,"11,297,409","6,642,212","9,037","2,659,144","5,648","23,722","1,130","1,956,516",1,192
Latin America-Caribbean,Cuba,2020,"11,176,354","6,778,898","8,940","2,414,969","5,588","23,468","1,118","1,943,374",1,192
Latin America-Caribbean,Curacao,2010,"156,879","142,220",772,"9,229",492,"3,137",304,725,1,531
Latin America-Caribbean,Curacao,2020,"185,018","167,662",919,"10,965",645,"3,676",359,792,1,531
Asia-Pacific,Cyprus,2010,"1,127,817","739,135","299,719","73,119","7,188","3,195",471,"4,991",1,196
Asia-Pacific,Cyprus,2020,"1,302,248","882,257","317,212","85,559","7,261","3,473",570,"5,917",1,196
Europe,Czech Republic,2010,"10,464,036","3,142,223","19,839","7,171,807","11,074","2,382","2,674","114,037",1,203
Europe,Czech Republic,2020,"10,550,130","2,786,580","34,513","7,681,911","7,217","1,778","2,723","35,407",1,203
Sub-Saharan Africa,Democratic Republic of the Congo,2010,"68,563,038","66,161,426","826,448","974,848",146,"1,082",103,"598,985",1,180
Sub-Saharan Africa,Democratic Republic of the Congo,2020,"95,989,998","92,401,422","1,219,602","1,128,415",147,"1,150",103,"1,239,159",1,180
Europe,Denmark,2010,"5,547,863","4,447,568","177,237","804,281","27,660","16,920","8,248","65,947",1,208
Europe,Denmark,2020,"5,831,530","4,484,810","246,038","969,836","38,283","25,374","6,189","60,999",1,208
Sub-Saharan Africa,Djibouti,2010,"930,252","12,517","906,185","10,372",0,372,0,805,1,262
Sub-Saharan Africa,Djibouti,2020,"1,105,189","12,158","1,079,460","12,172",0,442,0,956,1,262
Latin America-Caribbean,Dominican Republic,2010,"9,820,175","8,339,408","1,929","1,467,305","3,345",743,100,"7,344",1,214
Latin America-Caribbean,Dominican Republic,2020,"11,008,300","8,546,468","2,732","2,157,747","4,684",701,100,"295,869",1,214
Latin America-Caribbean,Ecuador,2010,"15,076,695","14,407,969","2,152","643,690","2,575","1,308",603,"18,398",1,218
Latin America-Caribbean,Ecuador,2020,"17,546,065","15,532,412","3,182","1,472,360","3,861","1,397",599,"532,255",1,218
Middle East-North Africa,Egypt,2010,"89,196,073","4,535,191","84,653,484","4,089",19,56,354,"2,881",1,818
Middle East-North Africa,Egypt,2020,"109,315,124","5,270,537","104,038,012","5,086",59,187,234,"1,009",1,818
Latin America-Caribbean,El Salvador,2010,"6,068,250","5,360,862",199,"705,373",397,109,99,"1,211",1,222
Latin America-Caribbean,El Salvador,2020,"6,234,674","5,430,923",218,"740,804",416,119,99,"62,094",1,222
Sub-Saharan Africa,Equatorial Guinea,2010,"1,189,085","1,054,485","48,135","59,303",33,594,43,"26,492",1,226
Sub-Saharan Africa,Equatorial Guinea,2020,"1,716,469","1,522,171","69,484","85,605",742,857,"1,075","36,534",1,226
Sub-Saharan Africa,Eritrea,2010,"2,945,187","1,386,315","1,510,272","30,596",28,784,9,"17,181",1,232
Sub-Saharan Africa,Eritrea,2020,"3,291,271","1,536,075","1,700,586","34,925",28,987,9,"18,660",1,232
Europe,Estonia,2010,"1,331,449","814,656","6,640","419,499","1,672",783,"2,740","85,458",1,233
Europe,Estonia,2020,"1,329,670","699,590","7,953","579,774","2,608",835,"1,800","37,108",1,233
Sub-Saharan Africa,Eswatini,2010,"1,111,650","1,035,296","3,739","44,330",263,"1,516",202,"26,304",1,748
Sub-Saharan Africa,Eswatini,2020,"1,192,730","1,111,963","1,619","73,424",273,"1,517",202,"3,732",1,748
Sub-Saharan Africa,Ethiopia,2010,"90,538,514","56,635,368","31,501,755","56,820","1,061","2,235","5,673","2,335,602",1,231
Sub-Saharan Africa,Ethiopia,2020,"118,917,672","73,227,447","43,095,975","74,119","1,383","2,881","5,680","2,510,187",1,231
Asia-Pacific,Federated States of Micronesia,2010,"107,540","106,235",2,753,90,9,0,449,1,583
Asia-Pacific,Federated States of Micronesia,2020,"110,917","109,589",2,759,93,10,0,463,1,583
Asia-Pacific,Fiji,2010,"910,419","596,603","57,069","2,322",563,"246,826",171,"6,864",1,242
Asia-Pacific,Fiji,2020,"914,963","636,082","52,888","2,300",587,"220,533",189,"2,385",1,242
Europe,Finland,2010,"5,363,351","4,388,519","43,904","888,735","9,053","3,375","2,764","27,000",1,246
Europe,Finland,2020,"5,529,612","3,997,079","89,038","1,385,014","17,393","8,149","3,433","29,507",1,246
Europe,France,2010,"63,417,363","36,209,246","4,202,017","21,867,710","328,446","60,935","489,509","259,501",1,250
Europe,France,2020,"65,905,278","30,624,609","5,995,942","28,105,801","469,906","84,205","455,858","168,956",1,250
Latin America-Caribbean,French Guiana,2010,"234,565","198,285","2,103","7,813","1,407","3,668",106,"21,183",1,254
Latin America-Caribbean,French Guiana,2020,"289,056","243,379","2,652","9,850","1,738","4,625",117,"26,695",1,254
Asia-Pacific,French Polynesia,2010,"270,580","253,078","1,001","13,318",250,191,154,"2,588",1,258
Asia-Pacific,French Polynesia,2020,"279,209","260,910",906,"14,060",261,176,150,"2,746",1,258
Sub-Saharan Africa,Gabon,2010,"1,719,879","1,479,717","93,712","134,053",0,0,0,"12,398",1,266
Sub-Saharan Africa,Gabon,2020,"2,322,539","1,944,962","200,613","133,826",0,0,0,"43,138",1,266
Sub-Saharan Africa,Gambia,2010,"1,926,630","66,596","1,854,061",595,0,"1,400",0,"3,978",1,270
Sub-Saharan Africa,Gambia,2020,"2,515,734","72,789","2,440,330",451,0,"1,662",0,502,1,270
Europe,Georgia,2010,"3,895,925","3,450,962","415,552","17,049",434,441,"1,877","9,609",1,268
Europe,Georgia,2020,"3,795,678","3,346,749","397,058","37,513",442,461,"1,689","11,766",1,268
Europe,Germany,2010,"80,830,924","50,301,328","4,156,166","25,717,125","260,311","102,036","118,277","175,681",1,276
Europe,Germany,2020,"83,628,709","47,028,504","5,476,628","30,229,853","287,475","130,895","118,424","356,928",1,276
Sub-Saharan Africa,Ghana,2010,"25,474,995","18,109,652","4,500,809","1,342,594",0,0,0,"1,521,940",1,288
Sub-Saharan Africa,Ghana,2020,"31,887,809","22,732,151","6,336,301","340,673",0,0,0,"2,478,683",1,288
Europe,Greece,2010,"11,124,670","10,150,699","500,945","408,953","2,072","8,066","4,537","49,398",1,300
Europe,Greece,2020,"10,699,369","9,573,407","547,831","507,404","2,640","9,160","4,173","54,754",1,300
Latin America-Caribbean,Grenada,2010,"111,586","97,609",440,"6,442",0,225,0,"6,869",1,308
Latin America-Caribbean,Grenada,2020,"116,341","101,769",459,"6,716",0,235,0,"7,162",1,308
